City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
314,Alanya,36.5438,31.9998,44.73,50,20,9.06,TR,2022-03-11 23:16:45,few clouds
315,Quatre Cocos,-20.2078,57.7625,77.11,85,43,10.76,MU,2022-03-11 23:17:45,light rain
316,Tazovskiy,67.4667,78.7,-19.21,100,28,8.05,RU,2022-03-11 23:17:45,scattered clouds
317,Neuquen,-38.9516,-68.0591,75.09,31,0,5.75,AR,2022-03-11 23:16:56,clear sky
318,Roald,62.5833,6.1333,48.34,34,0,11.5,NO,2022-03-11 23:17:46,clear sky
319,Borogontsy,62.6683,131.1683,-10.86,100,100,1.3,RU,2022-03-11 23:17:46,overcast clouds
320,Saint-Denis,48.9167,2.3333,48.97,86,75,12.66,FR,2022-03-11 23:17:47,broken clouds
321,Santa Cruz,-17.8,-63.1667,75.25,64,75,13.8,BO,2022-03-11 23:17:47,broken clouds
322,Kisangani,0.5167,25.2,69.51,99,100,2.62,CD,2022-03-11 23:17:48,overcast clouds
323,Tonj,7.2737,28.6822,84.25,36,9,4.32,SS,2022-03-11 23:17:48,clear sky
324,Georgetown,5.4112,100.3354,80.53,92,20,2.3,MY,2022-03-11 23:16:44,few clouds
325,Vieste,41.8825,16.175,42.03,41,0,2.8,IT,2022-03-11 23:17:49,clear sky
326,Dezful,32.3811,48.4058,59.16,36,7,2.39,IR,2022-03-11 23:17:49,clear sky
327,Matara,5.9485,80.5353,76.32,88,89,2.24,LK,2022-03-11 23:17:50,overcast clouds
328,Bontang,0.1333,117.5,77.56,88,97,3.6,ID,2022-03-11 23:17:50,overcast clouds
329,Kita,13.0349,-9.4895,86.5,12,22,7.36,ML,2022-03-11 23:17:50,few clouds
330,Coquimbo,-29.9533,-71.3436,60.53,88,20,11.5,CL,2022-03-11 23:17:51,few clouds
331,Le Port,-20.9373,55.2919,76.96,69,54,1.54,RE,2022-03-11 23:17:51,broken clouds
332,Douentza,14.9951,-2.9517,80.53,12,37,6.29,ML,2022-03-11 23:17:52,scattered clouds
333,Namikupa,-10.8333,39.6,70.84,97,99,3.49,TZ,2022-03-11 23:17:52,overcast clouds
334,Clyde River,70.4692,-68.5914,-25.37,75,0,2.3,CA,2022-03-11 23:17:52,clear sky
335,Geraldton,-28.7667,114.6,68.41,94,29,3.44,AU,2022-03-11 23:17:53,light rain
336,Dubti,11.7361,41.0853,76.26,63,73,11.32,ET,2022-03-11 23:17:53,broken clouds
337,Goderich,43.7501,-81.7165,26.91,80,100,9.22,CA,2022-03-11 23:17:54,overcast clouds
338,Bilibino,68.0546,166.4372,12.22,57,0,2.26,RU,2022-03-11 23:17:54,clear sky
339,Tortoli,39.9256,9.6572,51.62,76,40,8.05,IT,2022-03-11 23:17:54,scattered clouds
340,Pingliang,35.5392,106.6861,50.25,37,100,6.49,CN,2022-03-11 23:14:41,overcast clouds
341,Hashtgerd,35.9642,50.6858,44.44,50,0,3.02,IR,2022-03-11 23:17:55,clear sky
342,Touros,-5.1989,-35.4608,80.56,72,100,10.45,BR,2022-03-11 23:15:10,overcast clouds
343,Nelson Bay,-32.7167,152.15,70.0,82,23,1.01,AU,2022-03-11 23:17:56,few clouds
344,Mehriz,31.5917,54.4318,72.1,27,57,25.12,IR,2022-03-11 23:17:33,broken clouds
345,Kendari,-3.945,122.4989,76.59,95,61,2.59,ID,2022-03-11 23:17:56,broken clouds
346,Vardo,70.3705,31.1107,32.65,76,83,14.72,NO,2022-03-11 23:17:57,broken clouds
347,Mangai,-4.05,19.5333,70.2,97,99,2.91,CD,2022-03-11 23:17:57,light rain
348,Yilan,24.757,121.753,71.46,99,98,4.41,TW,2022-03-11 23:17:58,overcast clouds
349,San Cristobal,7.7669,-72.225,71.78,95,92,2.86,VE,2022-03-11 23:15:02,overcast clouds
350,Ayagoz,47.9714,80.4392,20.79,95,100,8.86,KZ,2022-03-11 23:17:58,light snow
351,Kununurra,-15.7667,128.7333,75.18,94,75,6.91,AU,2022-03-11 23:17:59,broken clouds
352,Soyo,-6.1349,12.3689,80.02,86,100,7.85,AO,2022-03-11 23:18:00,moderate rain
353,Hammerfest,70.6634,23.6821,34.25,100,75,2.3,NO,2022-03-11 23:18:00,light snow
354,Igrim,63.1906,64.4162,4.62,92,100,10.69,RU,2022-03-11 23:18:01,overcast clouds
355,Carbonia,39.1672,8.5222,54.25,83,100,10.54,IT,2022-03-11 23:14:55,overcast clouds
356,Darnah,32.767,22.6367,50.77,70,98,6.55,LY,2022-03-11 23:18:02,overcast clouds
357,Padilla,3.2204,-76.3139,69.37,90,74,0.89,CO,2022-03-11 23:18:02,broken clouds
358,Puerto Madryn,-42.7692,-65.0385,68.25,48,0,17.13,AR,2022-03-11 23:18:02,clear sky
359,Dubbo,-32.25,148.6167,71.73,60,40,14.97,AU,2022-03-11 23:18:03,scattered clouds
360,Pelotas,-31.7719,-52.3425,61.86,81,81,5.06,BR,2022-03-11 23:18:03,light rain
361,Karratha,-20.7377,116.8463,85.41,57,1,4.85,AU,2022-03-11 23:18:04,clear sky
362,Jaru,-10.4389,-62.4664,75.81,94,74,2.68,BR,2022-03-11 23:19:04,light rain
363,Sao Felix Do Xingu,-6.6447,-51.995,71.13,98,100,2.33,BR,2022-03-11 23:19:05,overcast clouds
364,Zhigansk,66.7697,123.3711,-3.55,99,100,6.33,RU,2022-03-11 23:19:05,overcast clouds
365,Seremban,2.7297,101.9381,76.51,95,98,2.75,MY,2022-03-11 23:17:04,overcast clouds
366,San Matias,-16.3667,-58.4,76.3,89,92,3.58,BO,2022-03-11 23:19:06,heavy intensity rain
