City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Lebu,CL,60.28,clear sky,-37.6167,-73.65,Hostal Las Lilas
162,Riyadh,SA,68.14,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
163,Mount Gambier,AU,59.14,clear sky,-37.8333,140.7667,The Commodore
165,Kahului,US,87.82,clear sky,20.8947,-156.47,Maui Seaside Hotel
167,Kapenguria,KE,57.47,broken clouds,1.2511,35.0895,EDENS HOTEL
171,San Mariano,PH,74.68,overcast clouds,7.5,126.0,MASING (HOME)
172,Jalu,LY,54.32,broken clouds,29.0331,21.5482,صاحبة الفخامة
173,Port Macquarie,AU,71.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
178,Diffa,NE,76.71,broken clouds,13.3154,12.6113,ProDAF/Diffa
179,Port Elizabeth,ZA,72.14,scattered clouds,-33.918,25.5701,39 On Nile Guest House
180,Benghazi,LY,55.6,few clouds,32.1167,20.0667,Tibesti Hotel
182,Sao Filipe,CV,73.53,scattered clouds,14.8961,-24.4956,Hotel Xaguate
184,Arica,CL,74.75,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
185,Constitucion,CL,61.02,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
186,Kandi,BJ,86.88,scattered clouds,11.1342,2.9386,Baric Motel De Kandi
187,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
189,Pandan,PH,77.9,overcast clouds,14.0453,124.1694,Bonifacio Lodge
191,Sal Rei,CV,70.57,clear sky,16.1833,-22.9167,Marine Club Beach Resort
194,Chipata,ZM,63.07,overcast clouds,-13.6333,32.65,Protea Hotel by Marriott Chipata
197,Thinadhoo,MV,81.86,clear sky,0.5333,72.9333,املاك خالد الشعشوع
198,The Valley,AI,78.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
199,Kiunga,PG,76.14,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
200,Ambilobe,MG,72.82,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
209,Antalaha,MG,74.07,light rain,-14.9003,50.2788,Hotel Vitasoa
210,Shingu,JP,57.81,few clouds,33.7333,135.9833,Shingu UI Hotel
211,Pozo Colorado,PY,69.51,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
212,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,Beach Rotana
214,Port Augusta,AU,75.36,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
215,Queanbeyan,AU,67.6,broken clouds,-35.35,149.2333,Parkway Motel
216,Maiduguri,NG,76.62,scattered clouds,11.8464,13.1603,Kagel Mari Police Station
219,Aracaju,BR,80.55,scattered clouds,-10.9111,-37.0717,HOTEL FÊNIX
221,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
222,Half Moon Bay,US,75.6,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
223,Chuy,UY,63.34,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
226,Naze,JP,60.58,clear sky,28.3667,129.4833,Shishime Hotel
227,Atambua,ID,76.1,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
229,Katsuura,JP,55.72,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
230,Babu,CN,70.25,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
231,Cabo San Lucas,MX,76.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
232,Bhag,PK,79.39,clear sky,29.0415,67.8239,Bukhari hotl
234,Magalia,US,63.95,clear sky,39.8121,-121.5783,Paradise Pines RV Park - Price Match
235,Buala,SB,84.02,light rain,-8.145,159.5921,Maringe Lagoon Lodge
237,Belmonte,BR,78.33,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
